ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
24860.05,584275,2024-10-22 09:29:04,1729569544,100,200,24858.0,24860.3,50,203400,321025,24847.99,24777.0,24894.7,0,0,24789.7,24788.8,sf,NSE:NIFTY24OCTFUT,71.25,0.2874
24860.0,584275,2024-10-22 09:29:04,1729569545,100,200,24858.0,24860.3,25,203400,321025,24847.99,24777.0,24894.7,0,0,24789.7,24788.8,sf,NSE:NIFTY24OCTFUT,71.2,0.2872
24860.0,584300,2024-10-22 09:29:05,1729569546,200,100,24858.0,24860.3,25,194300,314600,24847.99,24777.0,24894.7,0,0,24789.7,24788.8,sf,NSE:NIFTY24OCTFUT,71.2,0.2872
24860.35,584300,2024-10-22 09:29:05,1729569547,200,100,24858.0,24860.3,25,194300,314600,24847.99,24777.0,24894.7,0,0,24789.7,24788.8,sf,NSE:NIFTY24OCTFUT,71.55,0.2886
24860.35,584450,2024-10-22 09:29:07,1729569548,200,200,24858.0,24862.3,25,195825,310600,24847.99,24777.0,24894.7,0,0,24789.7,24788.8,sf,NSE:NIFTY24OCTFUT,71.55,0.2886
24857.85,584450,2024-10-22 09:29:07,1729569549,200,200,24858.0,24862.3,25,195825,310600,24847.99,24777.0,24894.7,0,0,24789.7,24788.8,sf,NSE:NIFTY24OCTFUT,69.05,0.2786
24860.05,584450,2024-10-22 09:29:07,1729569549,200,200,24858.0,24862.3,50,195825,310600,24847.99,24777.0,24894.7,0,0,24789.7,24788.8,sf,NSE:NIFTY24OCTFUT,71.25,0.2874
24860.05,585275,2024-10-22 09:29:09,1729569549,50,25,24858.0,24860.05,50,201625,316000,24848.01,24777.0,24894.7,0,0,24789.7,24788.8,sf,NSE:NIFTY24OCTFUT,71.25,0.2874
24862.95,585275,2024-10-22 09:29:09,1729569550,50,25,24858.0,24860.05,25,201625,316000,24848.01,24777.0,24894.7,0,0,24789.7,24788.8,sf,NSE:NIFTY24OCTFUT,74.15,0.2991
24862.95,585375,2024-10-22 09:29:10,1729569551,200,75,24859.5,24862.95,25,199050,287425,24848.01,24777.0,24894.7,0,0,24789.7,24788.8,sf,NSE:NIFTY24OCTFUT,74.15,0.2991
24859.2,585375,2024-10-22 09:29:10,1729569552,200,75,24859.5,24862.95,200,199050,287425,24848.01,24777.0,24894.7,0,0,24789.7,24788.8,sf,NSE:NIFTY24OCTFUT,70.4,0.284
24859.2,585950,2024-10-22 09:29:12,1729569553,250,75,24859.2,24860.0,50,188125,321050,24848.02,24777.0,24894.7,0,0,24789.7,24788.8,sf,NSE:NIFTY24OCTFUT,70.4,0.284
24862.3,585950,2024-10-22 09:29:12,1729569553,250,75,24859.2,24860.0,75,188125,321050,24848.02,24777.0,24894.7,0,0,24789.7,24788.8,sf,NSE:NIFTY24OCTFUT,73.5,0.2965
24859.5,586800,2024-10-22 09:29:14,1729569554,125,25,24859.45,24859.5,50,184825,320300,24848.04,24777.0,24894.7,0,0,24789.7,24788.8,sf,NSE:NIFTY24OCTFUT,70.7,0.2852
24859.45,586800,2024-10-22 09:29:14,1729569555,125,25,24859.45,24859.5,25,184825,320300,24848.04,24777.0,24894.7,0,0,24789.7,24788.8,sf,NSE:NIFTY24OCTFUT,70.65,0.285
24860.4,587375,2024-10-22 09:29:16,1729569556,200,100,24860.55,24862.95,25,201250,312425,24848.05,24777.0,24894.7,0,0,24789.7,24788.8,sf,NSE:NIFTY24OCTFUT,71.6,0.2888
24860.75,587375,2024-10-22 09:29:16,1729569557,200,100,24860.55,24862.95,50,201250,312425,24848.05,24777.0,24894.7,0,0,24789.7,24788.8,sf,NSE:NIFTY24OCTFUT,71.95,0.2903
24860.75,587675,2024-10-22 09:29:17,1729569558,150,150,24860.1,24862.3,50,196525,318850,24848.06,24777.0,24894.7,0,0,24789.7,24788.8,sf,NSE:NIFTY24OCTFUT,71.95,0.2903
24859.75,587675,2024-10-22 09:29:17,1729569558,150,150,24860.1,24862.3,25,196525,318850,24848.06,24777.0,24894.7,0,0,24789.7,24788.8,sf,NSE:NIFTY24OCTFUT,70.95,0.2862
24857.95,588250,2024-10-22 09:29:19,1729569559,250,25,24857.2,24859.35,150,192450,319600,24848.07,24777.0,24894.7,0,0,24789.7,24788.8,sf,NSE:NIFTY24OCTFUT,69.15,0.279
24861.9,588250,2024-10-22 09:29:19,1729569560,250,25,24857.2,24859.35,25,192450,319600,24848.07,24777.0,24894.7,0,0,24789.7,24788.8,sf,NSE:NIFTY24OCTFUT,73.1,0.2949
24860.1,588875,2024-10-22 09:29:20,1729569561,25,50,24856.55,24860.35,100,180325,320475,24848.08,24777.0,24894.7,0,0,24789.7,24788.8,sf,NSE:NIFTY24OCTFUT,71.3,0.2876
24856.55,588875,2024-10-22 09:29:20,1729569562,25,50,24856.55,24860.35,25,180325,320475,24848.08,24777.0,24894.7,0,0,24789.7,24788.8,sf,NSE:NIFTY24OCTFUT,67.75,0.2733
24855.45,588925,2024-10-22 09:29:22,1729569563,125,150,24855.05,24859.75,25,166950,322000,24848.08,24777.0,24894.7,0,0,24789.7,24788.8,sf,NSE:NIFTY24OCTFUT,66.65,0.2689
24855.05,588925,2024-10-22 09:29:22,1729569564,125,150,24855.05,24859.75,25,166950,322000,24848.08,24777.0,24894.7,0,0,24789.7,24788.8,sf,NSE:NIFTY24OCTFUT,66.25,0.2673
24855.05,588950,2024-10-22 09:29:24,1729569564,50,200,24855.0,24859.2,25,202700,321850,24848.08,24777.0,24894.7,0,0,24789.7,24788.8,sf,NSE:NIFTY24OCTFUT,66.25,0.2673
24855.0,588950,2024-10-22 09:29:24,1729569566,50,200,24855.0,24859.2,50,202700,321850,24848.08,24777.0,24894.7,0,0,24789.7,24788.8,sf,NSE:NIFTY24OCTFUT,66.2,0.2671
24859.35,589300,2024-10-22 09:29:26,1729569566,125,125,24853.8,24859.35,50,201375,306850,24848.09,24777.0,24894.7,0,0,24789.7,24788.8,sf,NSE:NIFTY24OCTFUT,70.55,0.2846
24855.85,589300,2024-10-22 09:29:26,1729569568,125,125,24853.8,24859.35,25,201375,306850,24848.09,24777.0,24894.7,0,0,24789.7,24788.8,sf,NSE:NIFTY24OCTFUT,67.05,0.2705
