ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
125.6,1909425,29-10-2024 09:17,1730173662,100,150,125.15,125.45,25,234600,154225,133.54,121.45,160.1,0,0,158.35,141.45,sf,NSE:NIFTY24OCT24300CE,-15.85,-11.2054
124.7,1933800,29-10-2024 09:17,1730173663,1325,300,124.7,124.85,75,233675,158375,133.43,121.45,160.1,0,0,158.35,141.45,sf,NSE:NIFTY24OCT24300CE,-16.75,-11.8416
126.05,1933800,29-10-2024 09:17,1730173664,1325,300,124.7,124.85,25,233675,158375,133.43,121.45,160.1,0,0,158.35,141.45,sf,NSE:NIFTY24OCT24300CE,-15.4,-10.8872
125.8,1959175,29-10-2024 09:17,1730173665,125,75,125.6,125.9,50,234575,155800,133.33,121.45,160.1,0,0,158.35,141.45,sf,NSE:NIFTY24OCT24300CE,-15.65,-11.064
125.45,1959175,29-10-2024 09:17,1730173665,125,75,125.6,125.9,50,234575,155800,133.33,121.45,160.1,0,0,158.35,141.45,sf,NSE:NIFTY24OCT24300CE,-16,-11.3114
124.65,1959175,29-10-2024 09:17,1730173666,125,75,125.6,125.9,50,234575,155800,133.33,121.45,160.1,0,0,158.35,141.45,sf,NSE:NIFTY24OCT24300CE,-16.8,-11.877
124.4,1981175,29-10-2024 09:17,1730173666,25,275,124.4,124.7,50,233675,161600,133.24,121.45,160.1,0,0,158.35,141.45,sf,NSE:NIFTY24OCT24300CE,-17.05,-12.0537
124.75,1981175,29-10-2024 09:17,1730173667,25,275,124.4,124.7,25,233675,161600,133.24,121.45,160.1,0,0,158.35,141.45,sf,NSE:NIFTY24OCT24300CE,-16.7,-11.8063
124.35,1981175,29-10-2024 09:17,1730173668,25,275,124.4,124.7,100,233675,161600,133.24,121.45,160.1,0,0,158.35,141.45,sf,NSE:NIFTY24OCT24300CE,-17.1,-12.0891
124.3,2001075,29-10-2024 09:17,1730173668,75,25,124.05,124.15,50,226625,161200,133.15,121.45,160.1,0,0,158.35,141.45,sf,NSE:NIFTY24OCT24300CE,-17.15,-12.1244
124.75,2001075,29-10-2024 09:17,1730173669,75,25,124.05,124.15,50,226625,161200,133.15,121.45,160.1,0,0,158.35,141.45,sf,NSE:NIFTY24OCT24300CE,-16.7,-11.8063
124.85,2017375,29-10-2024 09:17,1730173670,375,475,124.6,124.95,25,233000,158675,133.08,121.45,160.1,0,0,158.35,141.45,sf,NSE:NIFTY24OCT24300CE,-16.6,-11.7356
124.75,2017375,29-10-2024 09:17,1730173671,375,475,124.6,124.95,50,233000,158675,133.08,121.45,160.1,0,0,158.35,141.45,sf,NSE:NIFTY24OCT24300CE,-16.7,-11.8063
124.8,2032475,29-10-2024 09:17,1730173671,250,25,124.8,125.1,25,233025,160525,133.02,121.45,160.1,0,0,158.35,141.45,sf,NSE:NIFTY24OCT24300CE,-16.65,-11.7709
124.95,2032475,29-10-2024 09:17,1730173672,250,25,124.8,125.1,25,233025,160525,133.02,121.45,160.1,0,0,158.35,141.45,sf,NSE:NIFTY24OCT24300CE,-16.5,-11.6649
124.05,2054825,29-10-2024 09:17,1730173673,50,600,124.05,124.4,50,235150,162625,132.94,121.45,160.1,0,0,158.35,141.45,sf,NSE:NIFTY24OCT24300CE,-17.4,-12.3012
123.65,2054825,29-10-2024 09:17,1730173674,50,600,124.05,124.4,75,235150,162625,132.94,121.45,160.1,0,0,158.35,141.45,sf,NSE:NIFTY24OCT24300CE,-17.8,-12.584
123.2,2081350,29-10-2024 09:17,1730173675,150,375,123.15,123.35,25,225050,161925,132.82,121.45,160.1,0,0,158.35,141.45,sf,NSE:NIFTY24OCT24300CE,-18.25,-12.9021
123.8,2081350,29-10-2024 09:17,1730173676,150,375,123.15,123.35,25,225050,161925,132.82,121.45,160.1,0,0,158.35,141.45,sf,NSE:NIFTY24OCT24300CE,-17.65,-12.4779
123,2102100,29-10-2024 09:17,1730173676,50,25,123,123.1,50,223500,162825,132.73,121.45,160.1,0,0,158.35,141.45,sf,NSE:NIFTY24OCT24300CE,-18.45,-13.0435
122.65,2102100,29-10-2024 09:17,1730173677,50,25,123,123.1,25,223500,162825,132.73,121.45,160.1,0,0,158.35,141.45,sf,NSE:NIFTY24OCT24300CE,-18.8,-13.2909
122.1,2102100,29-10-2024 09:17,1730173678,50,25,123,123.1,75,223500,162825,132.73,121.45,160.1,0,0,158.35,141.45,sf,NSE:NIFTY24OCT24300CE,-19.35,-13.6797
122.15,2127050,29-10-2024 09:17,1730173678,50,275,122.15,122.25,100,211325,160225,132.61,121.45,160.1,0,0,158.35,141.45,sf,NSE:NIFTY24OCT24300CE,-19.3,-13.6444
121.4,2127050,29-10-2024 09:17,1730173679,50,275,122.15,122.25,75,211325,160225,132.61,121.45,160.1,0,0,158.35,141.45,sf,NSE:NIFTY24OCT24300CE,-20.05,-14.1746
120.5,2151400,29-10-2024 09:18,1730173680,50,100,120.45,120.65,175,196300,193725,132.48,120.5,160.1,0,0,158.35,141.45,sf,NSE:NIFTY24OCT24300CE,-20.95,-14.8109
119.2,2151400,29-10-2024 09:18,1730173681,50,100,120.45,120.65,25,196300,193725,132.48,120.5,160.1,0,0,158.35,141.45,sf,NSE:NIFTY24OCT24300CE,-22.25,-15.7299
119.3,2204975,29-10-2024 09:18,1730173681,75,400,119,119.3,50,177825,194025,132.17,118.8,160.1,0,0,158.35,141.45,sf,NSE:NIFTY24OCT24300CE,-22.15,-15.6592
118.4,2204975,29-10-2024 09:18,1730173682,75,400,119,119.3,125,177825,194025,132.17,118.8,160.1,0,0,158.35,141.45,sf,NSE:NIFTY24OCT24300CE,-23.05,-16.2955
117.7,2204975,29-10-2024 09:18,1730173683,75,400,119,119.3,100,177825,194025,132.17,118.8,160.1,0,0,158.35,141.45,sf,NSE:NIFTY24OCT24300CE,-23.75,-16.7904
117.3,2245475,29-10-2024 09:18,1730173683,500,350,117.25,117.6,100,168800,201000,131.91,117.25,160.1,0,0,158.35,141.45,sf,NSE:NIFTY24OCT24300CE,-24.15,-17.0732
117.25,2245475,29-10-2024 09:18,1730173684,500,350,117.25,117.6,100,168800,201000,131.91,117.25,160.1,0,0,158.35,141.45,sf,NSE:NIFTY24OCT24300CE,-24.2,-17.1085
117.4,2272900,29-10-2024 09:18,1730173685,25,25,116.7,116.85,50,164675,197450,131.73,116.2,160.1,0,0,158.35,141.45,sf,NSE:NIFTY24OCT24300CE,-24.05,-17.0025
117.55,2300400,29-10-2024 09:18,1730173686,625,300,117.3,117.65,25,175400,197075,131.56,116.2,160.1,0,0,158.35,141.45,sf,NSE:NIFTY24OCT24300CE,-23.9,-16.8964
117.3,2300400,29-10-2024 09:18,1730173687,625,300,117.3,117.65,25,175400,197075,131.56,116.2,160.1,0,0,158.35,141.45,sf,NSE:NIFTY24OCT24300CE,-24.15,-17.0732
117.15,2326675,29-10-2024 09:18,1730173688,75,25,116.85,117.15,50,177400,199100,131.4,116.2,160.1,0,0,158.35,141.45,sf,NSE:NIFTY24OCT24300CE,-24.3,-17.1792
116.6,2326675,29-10-2024 09:18,1730173689,75,25,116.85,117.15,175,177400,199100,131.4,116.2,160.1,0,0,158.35,141.45,sf,NSE:NIFTY24OCT24300CE,-24.85,-17.568
117.5,2353425,29-10-2024 09:18,1730173690,175,125,117.1,117.25,25,175325,193025,131.23,115.65,160.1,0,0,158.35,141.45,sf,NSE:NIFTY24OCT24300CE,-23.95,-16.9318
116.8,2353425,29-10-2024 09:18,1730173691,175,125,117.1,117.25,25,175325,193025,131.23,115.65,160.1,0,0,158.35,141.45,sf,NSE:NIFTY24OCT24300CE,-24.65,-17.4267
117.05,2373650,29-10-2024 09:18,1730173691,100,25,116.7,116.85,25,175250,194325,131.11,115.65,160.1,0,0,158.35,141.45,sf,NSE:NIFTY24OCT24300CE,-24.4,-17.2499
117.75,2373650,29-10-2024 09:18,1730173692,100,25,116.7,116.85,50,175250,194325,131.11,115.65,160.1,0,0,158.35,141.45,sf,NSE:NIFTY24OCT24300CE,-23.7,-16.755
117.4,2392475,29-10-2024 09:18,1730173693,100,25,117.15,117.2,25,182950,202975,131,115.65,160.1,0,0,158.35,141.45,sf,NSE:NIFTY24OCT24300CE,-24.05,-17.0025
118.45,2392475,29-10-2024 09:18,1730173694,100,25,117.15,117.2,25,182950,202975,131,115.65,160.1,0,0,158.35,141.45,sf,NSE:NIFTY24OCT24300CE,-23,-16.2602
117.25,2406425,29-10-2024 09:18,1730173695,50,475,117.25,117.55,50,194175,201375,130.92,115.65,160.1,0,0,158.35,141.45,sf,NSE:NIFTY24OCT24300CE,-24.2,-17.1085
117,2406425,29-10-2024 09:18,1730173696,50,475,117.25,117.55,25,194175,201375,130.92,115.65,160.1,0,0,158.35,141.45,sf,NSE:NIFTY24OCT24300CE,-24.45,-17.2853
117.6,2445275,29-10-2024 09:18,1730173696,225,375,117.25,117.6,25,202650,178325,130.7,115.65,160.1,0,0,158.35,141.45,sf,NSE:NIFTY24OCT24300CE,-23.85,-16.8611
116.9,2445275,29-10-2024 09:18,1730173697,225,375,117.25,117.6,75,202650,178325,130.7,115.65,160.1,0,0,158.35,141.45,sf,NSE:NIFTY24OCT24300CE,-24.55,-17.356
118.2,2458950,29-10-2024 09:18,1730173698,175,25,118.15,118.35,25,206300,175725,130.63,115.65,160.1,0,0,158.35,141.45,sf,NSE:NIFTY24OCT24300CE,-23.25,-16.4369
118.4,2458950,29-10-2024 09:18,1730173699,175,25,118.15,118.35,125,206300,175725,130.63,115.65,160.1,0,0,158.35,141.45,sf,NSE:NIFTY24OCT24300CE,-23.05,-16.2955
118.85,2474050,29-10-2024 09:18,1730173700,150,50,118.5,118.8,25,213750,176875,130.56,115.65,160.1,0,0,158.35,141.45,sf,NSE:NIFTY24OCT24300CE,-22.6,-15.9774
118.7,2474050,29-10-2024 09:18,1730173700,150,50,118.5,118.8,25,213750,176875,130.56,115.65,160.1,0,0,158.35,141.45,sf,NSE:NIFTY24OCT24300CE,-22.75,-16.0834
117.7,2485000,29-10-2024 09:18,1730173701,475,600,117.5,117.6,25,210550,180725,130.5,115.65,160.1,0,0,158.35,141.45,sf,NSE:NIFTY24OCT24300CE,-23.75,-16.7904
118.55,2485000,29-10-2024 09:18,1730173702,475,600,117.5,117.6,75,210550,180725,130.5,115.65,160.1,0,0,158.35,141.45,sf,NSE:NIFTY24OCT24300CE,-22.9,-16.1895
118.6,2506200,29-10-2024 09:18,1730173703,125,125,118.6,118.85,100,215975,173050,130.4,115.65,160.1,0,0,158.35,141.45,sf,NSE:NIFTY24OCT24300CE,-22.85,-16.1541
119.65,2506200,29-10-2024 09:18,1730173704,125,125,118.6,118.85,100,215975,173050,130.4,115.65,160.1,0,0,158.35,141.45,sf,NSE:NIFTY24OCT24300CE,-21.8,-15.4118
