last_traded_time,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
02-01-2025 09:15,-15.65,168050,-25,175,-11.95,-11.9,11375,-16775,N,33300,N,7.89,8.75,5844375,600,2250,8.5,8.5,43500,6704100,N,266850,N,8.11,7.5,1255125,-975,0,7.1,7.1,42825,7275075,N,11325,N,-3.09,-79.95,43725,0,0,-68.45,-74.8,9990,18735,N,25995,N,7.02
02-01-2025 09:20,-12.95,238400,50,-75,-12.6,-12.1,18775,115700,Y,26825,N,-12.78,-4.75,4623375,-19050,-150,-4.95,-4.95,44700,312075,N,80925,N,-2.21,11.1,1490325,75,375,10.4,10.45,48375,-108525,Y,55650,Y,12.53,-25.9,26820,0,-15,-17.5,-16.8,6975,22890,N,12060,N,-35.13
02-01-2025 09:25,-1.3,99850,275,-75,-5,-1.75,15975,37525,N,3875,N,-1.05,-3.75,3723675,-300,-1950,-3.65,-3.7,50475,-22650,YES,95625,N,-0.82,6.7,1066425,300,75,6.85,6.9,46350,26400,YES,-52875,YES,2.33,-65.85,30015,-195,-330,-54.85,-57.75,8385,-7380,YES,1560,Y,-24.61
02-01-2025 09:30,32.8,84150,-475,0,29.5,27.25,13825,36225,N,2975,Y,-1.03,5.95,4114275,-225,-450,5.6,5.6,49875,164025,Y,36750,N,-1.15,-26.75,1255575,75,225,-26.25,-26.35,42525,-19275,Y,69825,Y,0.83,73.25,19620,-30,0,80,74.9,6630,16125,Y,8400,N,-11.86
02-01-2025 09:35,29.6,133450,425,1000,27.3,31,14500,19800,N,48250,YES,4.89,11.3,7771350,-2025,1200,11.35,11.35,47250,89925,N,-70950,Y,2.11,-27.15,1731375,-375,75,-26.8,-26.85,44475,12075,YES,27600,N,-6.83,61.4,18645,0,75,55.4,56.5,8775,2295,YES,5325,N,4.04
02-01-2025 09:40,7.5,97950,-325,450,5.85,5.2,14250,10500,N,31375,N,4.64,1.65,7046325,-1650,525,1.55,1.5,42150,82050,N,66075,YES,2.12,-7.7,1818225,825,-675,-8.2,-8.25,38850,59925,YES,66225,Y,-6.89,8.6,14400,45,-15,9.45,13.6,6525,-840,YES,6765,N,4.63
02-01-2025 09:45,-15.2,82550,225,50,-18.65,-19.8,15550,159825,Y,21000,N,2.54,-6.2,5997525,-525,1875,-5.85,-5.85,47250,17100,N,89100,YES,0.58,8.9,1797450,0,75,8.6,8.55,43200,41100,N,15975,N,-4.21,-40,10800,15,-30,-40.55,-37,6510,3750,N,6810,N,0.83
02-01-2025 09:50,9.55,65875,0,-125,4.15,6.9,13450,10375,N,-1825,Y,0.76,0.55,5703375,2550,-2550,-0.05,-0.05,47925,-53025,YES,-35475,Y,-0.42,-6.15,2453550,-675,0,-5.1,-5.15,42600,-55875,Y,-30300,YES,-2.02,-3.15,15810,0,-60,-12.45,-5.6,8565,1890,YES,-2385,Y,-3.96
02-01-2025 09:55,9,164775,200,225,7.85,9,13725,4975,N,25325,YES,6.48,8.45,10670700,-450,-150,8.4,8.4,44250,142500,Y,-19725,N,2.42,-7.05,3458775,-225,-150,-3.75,-3.75,46125,181725,YES,42675,Y,-7.75,9.05,12270,135,120,7.8,12.45,7380,180,YES,28455,YES,1.27
02-01-2025 10:00,6,33575,-75,225,2.75,0.95,12900,14600,N,21175,N,0.81,1.25,3948750,-900,150,-0.65,-0.7,45150,143850,N,122700,YES,0.27,-3.75,1228950,900,675,-1.25,-1.2,40425,36900,N,61800,N,-1.43,0.35,4800,30,-60,0.85,-5.6,5430,600,N,3135,N,-0.01
02-01-2025 10:05,2,52950,50,0,3.8,5.2,16425,-3225,YES,925,Y,1.78,-1.15,6014775,750,-1800,-0.6,-0.7,44550,-138600,YES,98550,N,0.93,-3.15,1768275,1725,-300,-3.7,-3.9,41025,77550,YES,33150,N,-2.56,-5.35,10260,15,-165,-4.3,1.25,8100,-1965,YES,5010,N,2.05
02-01-2025 10:10,-16.75,87450,-25,175,-7.95,-10.55,17350,-2600,N,38650,YES,2.77,-5.1,9977625,225,75,-3.85,-3.85,48675,-71475,Y,-213825,Y,1.47,5.95,4146450,75,3375,4.55,4.7,39150,62025,N,48225,N,-4.95,-41.75,17385,0,-30,-53.05,-52.8,7185,-1590,N,-1485,Y,2.75
02-01-2025 10:15,16.8,77450,100,150,25.05,20.4,18750,15200,N,18825,N,2.42,13.1,6162225,-150,-450,12.9,12.9,48075,-119325,YES,99900,YES,0.63,-15.5,2638800,-375,-225,-15.15,-15.1,45450,107175,YES,117900,Y,-2.39,80,4590,-30,-15,79.55,66.05,5115,6015,N,7050,N,0.21
02-01-2025 10:20,16.25,154150,0,275,14.9,17.15,19075,-18525,YES,245375,YES,5.89,7.25,8121450,-2175,-750,7.45,7.35,45450,62400,Y,-105525,Y,1.27,-9.05,3902775,0,375,-8.3,-8.3,46425,-105150,Y,78300,N,-4.05,72,19335,30,15,56.8,60,5595,-1545,YES,-8550,Y,5.76
